Title,Geek Rating,Link
Star Realms: Colony Wars,7.331,https://boardgamegeek.com/boardgame/182631/star-realms-colony-wars
Splendor,7.327,https://boardgamegeek.com/boardgame/148228/splendor
Go,7.323,https://boardgamegeek.com/boardgame/188/go
La Granja,7.322,https://boardgamegeek.com/boardgame/146886/la-granja
Tichu,7.321,https://boardgamegeek.com/boardgame/215/tichu
Viscounts of the West Kingdom,7.317,https://boardgamegeek.com/boardgame/296151/viscounts-west-kingdom
Ra,7.311,https://boardgamegeek.com/boardgame/12/ra
Ticket to Ride,7.311,https://boardgamegeek.com/boardgame/9209/ticket-ride
Carcassonne,7.308,https://boardgamegeek.com/boardgame/822/carcassonne
Santorini,7.308,https://boardgamegeek.com/boardgame/194655/santorini
Zombicide: Black Plague,7.307,https://boardgamegeek.com/boardgame/176189/zombicide-black-plague
Kanban: Driver's Edition,7.307,https://boardgamegeek.com/boardgame/109276/kanban-drivers-edition
Legendary: A Marvel Deck Building Game,7.305,https://boardgamegeek.com/boardgame/129437/legendary-marvel-deck-building-game
Concordia Venus,7.303,https://boardgamegeek.com/boardgame/256916/concordia-venus
Cyclades,7.301,https://boardgamegeek.com/boardgame/54998/cyclades
Calico,7.300,https://boardgamegeek.com/boardgame/283155/calico
Tyrants of the Underdark,7.296,https://boardgamegeek.com/boardgame/189932/tyrants-underdark
Secret Hitler,7.294,https://boardgamegeek.com/boardgame/188834/secret-hitler
The Princes of Florence,7.294,https://boardgamegeek.com/boardgame/555/princes-florence
Goa,7.292,https://boardgamegeek.com/boardgame/9216/goa
Glen More II: Chronicles,7.290,https://boardgamegeek.com/boardgame/265188/glen-more-ii-chronicles
YINSH,7.289,https://boardgamegeek.com/boardgame/7854/yinsh
Deception: Murder in Hong Kong,7.286,https://boardgamegeek.com/boardgame/156129/deception-murder-hong-kong
Arcadia Quest,7.285,https://boardgamegeek.com/boardgame/155068/arcadia-quest
Roll Player,7.284,https://boardgamegeek.com/boardgame/169426/roll-player
Sushi Go Party!,7.284,https://boardgamegeek.com/boardgame/192291/sushi-go-party
Space Base,7.283,https://boardgamegeek.com/boardgame/242302/space-base
Kanban EV,7.282,https://boardgamegeek.com/boardgame/284378/kanban-ev
Century: Golem Edition,7.279,https://boardgamegeek.com/boardgame/232832/century-golem-edition
Viticulture,7.275,https://boardgamegeek.com/boardgame/128621/viticulture
Galaxy Trucker,7.274,https://boardgamegeek.com/boardgame/31481/galaxy-trucker
Steam,7.273,https://boardgamegeek.com/boardgame/27833/steam
Shogun,7.269,https://boardgamegeek.com/boardgame/20551/shogun
1830: Railways & Robber Barons,7.269,https://boardgamegeek.com/boardgame/421/1830-railways-robber-barons
Flamme Rouge,7.268,https://boardgamegeek.com/boardgame/199478/flamme-rouge
